Code région;Nom de la région;Code département;Code arrondissement départemental;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale;Année recensement;Année utilisation;Code INSEE (commune ou arrondissement);Superficie de la commune;Statut;Code INSEE de la commune;Nom de la commune IGN;Nom du département IGN;Nom de la région;Code EPCI;Code EPCI;EPCI
04;La Réunion;974;1;93;411;Saint-Denis;145347;1478;146825;2011;2014;97411;141.5;Commune;97411;Saint-Denis;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;06;402;Bras-Panon;12722;177;12899;2016;2019;97402;87.26;Commune;97402;Bras-Panon;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (Cirest)
04;La Réunion;974;4;97;415;Saint-Paul;103498;1409;104907;2009;2012;97415;240.51;Commune;97415;Saint-Paul;LA REUNION;LA REUNION;;;
04;La Réunion;974;4;36;423;Les Trois-Bassins;6807;94;6901;2006;2009;97423;42.48;Commune;97423;;;;;;
04;La Réunion;974;2;16;424;Cilaos;5403;86;5489;2016;2019;97424;84.4;Commune;97424;Cilaos;LA REUNION;LA REUNION;249740077;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;2;96;414;Saint-Louis;52038;469;52507;2010;2013;97414;98.85;Commune;97414;Saint-Louis;LA REUNION;LA REUNION;;;
04;La Réunion;974;1;30;418;Sainte-Marie;30367;351;30718;2009;2012;97418;88.65;Commune;97418;;;;;;
04;La Réunion;974;1;04;420;Sainte-Suzanne;22209;196;22405;2013;2016;97420;57.83;Commune;97420;Sainte-Suzanne;LA REUNION;LA REUNION;249740119;249740119;CA Intercommunale du Nord de la Réunion
04;La Réunion;974;2;16;403;Entre-Deux;6634;67;6701;2014;2017;97403;51.37;Commune;97403;Entre-Deux;LA REUNION;LA REUNION;249740085;249740085;CA du Sud
04;La Réunion;974;3;02;402;Bras-Panon;12298;145;12443;2012;2015;97402;87.26;Commune;97402;Bras-Panon;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est
04;La Réunion;974;3;92;409;Saint-André;54721;413;55134;2012;2015;97409;54.28;Commune;97409;Saint-André;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est
04;La Réunion;974;3;08;419;Sainte-Rose;6520;80;6600;2016;2019;97419;178.21;Commune;97419;Sainte-Rose;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (Cirest)
04;La Réunion;974;2;96;414;Saint-Louis;50131;475;50606;2007;2010;97414;98.85;Commune;97414;Saint-Louis;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;31;419;Sainte-Rose;6680;66;6746;2007;2010;97419;178.21;Commune;97419;Sainte-Rose;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;07;406;La Plaine-des-Palmistes;5741;90;5831;2013;2016;97406;83.05;Commune;97406;La Plaine-des-Palmistes;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est
04;La Réunion;974;3;92;410;Saint-Benoît;36131;302;36433;2013;2016;97410;229.79;Commune;97410;Saint-Benoît;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est
04;La Réunion;974;2;94;412;Saint-Joseph;37550;546;38096;2013;2016;97412;177.85;Commune;97412;;;;249740085;249740085;CA du Sud
04;La Réunion;974;2;04;404;L' Étang-Salé;13266;191;13457;2006;2009;97404;38.43;Commune;97404;L'Étang-Salé;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;33;421;Salazie;7065;100;7165;2006;2009;97421;103.82;Commune;97421;Salazie;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;05;405;Petite-Île;11672;132;11804;2007;2010;97405;33.83;Commune;97405;Petite-Île;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;26;417;Saint-Philippe;5129;65;5194;2007;2010;97417;154.47;Commune;97417;Saint-Philippe;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;04;404;L' Étang-Salé;13367;188;13555;2008;2011;97404;38.43;Commune;97404;L'Étang-Salé;LA REUNION;LA REUNION;;;
04;La Réunion;974;1;30;418;Sainte-Marie;30815;389;31204;2008;2011;97418;88.65;Commune;97418;;;;;;
04;La Réunion;974;2;99;422;Le Tampon;72026;911;72937;2008;2011;97422;181.02;Commune;97422;Le Tampon;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;90;410;Saint-Benoît;34682;225;34907;2009;2012;97410;229.79;Commune;97410;Saint-Benoît;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;91;409;Saint-André;55628;460;56088;2016;2019;97409;54.28;Commune;97409;Saint-André;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (Cirest)
04;La Réunion;974;2;22;424;Cilaos;5440;104;5544;2012;2015;97424;84.4;Commune;97424;Cilaos;LA REUNION;LA REUNION;249740077;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires)
